Interacción,Times CreateTxGen,Times VerifyTx,Times TxResponse,VerifyTx_1,VerifyTx_2,TxResponse_1,TxResponse_2
1,0.008904696,"0.0015649795532226562,0.0010938644409179688","0.00710606575012207,0.00665283203125",0.00156498,0.001093864,0.007106066,0.006652832
2,0.006733179,,,,,,
3,0.006641388,"0.001367807388305664,0.0015952587127685547","0.006698131561279297,0.006661653518676758",0.001367807,0.001595259,0.006698132,0.006661654
4,0.006627083,"0.0028066635131835938,0.001455545425415039","0.014762639999389648,0.0065958499908447266",0.002806664,0.001455545,0.01476264,0.00659585
5,0.01507616,"0.00141143798828125,0.0014700889587402344","0.006626129150390625,0.0068590641021728516",0.001411438,0.001470089,0.006626129,0.006859064
6,0.006668091,"0.0012271404266357422,0.0011363029479980469","0.0065555572509765625,0.017131328582763672",0.00122714,0.001136303,0.006555557,0.017131329
7,0.006985188,"0.0012698173522949219,0.0010929107666015625","0.00669407844543457,0.011416196823120117",0.001269817,0.001092911,0.006694078,0.011416197
8,0.006726742,"0.0013117790222167969,0.0011451244354248047","0.006520986557006836,0.01492762565612793",0.001311779,0.001145124,0.006520987,0.014927626
9,0.00669241,"0.0011763572692871094,0.001359701156616211","0.0065326690673828125,0.006534099578857422",0.001176357,0.001359701,0.006532669,0.0065341
10,0.006594419,"0.0013165473937988281,0.0014204978942871094","0.015018701553344727,0.0066716670989990234",0.001316547,0.001420498,0.015018702,0.006671667
11,0.015513897,"0.0029020309448242188,0.0011868476867675781","0.015131473541259766,0.006676673889160156",0.002902031,0.001186848,0.015131474,0.006676674
12,0.006765366,"0.002785205841064453,0.0012493133544921875","0.014899253845214844,0.006618022918701172",0.002785206,0.001249313,0.014899254,0.006618023
13,0.006890535,"0.0013158321380615234,0.0011501312255859375","0.006531953811645508,0.0065920352935791016",0.001315832,0.001150131,0.006531954,0.006592035
14,0.006670952,"0.0011625289916992188,0.0014445781707763672","0.006567955017089844,0.006543636322021484",0.001162529,0.001444578,0.006567955,0.006543636
15,0.009926796,"0.0014061927795410156,0.0013470649719238281","0.006532907485961914,0.006603717803955078",0.001406193,0.001347065,0.006532907,0.006603718
16,0.006643057,0.001274586,0.006590366,0.001274586,,0.006590366,
17,0.006651163,"0.0014524459838867188,0.0013549327850341797","0.006464481353759766,0.006647348403930664",0.001452446,0.001354933,0.006464481,0.006647348
18,0.015054464,"0.002830028533935547,0.0014662742614746094","0.006857633590698242,0.0066111087799072266",0.002830029,0.001466274,0.006857634,0.006611109
19,0.006641626,"0.0011785030364990234,0.0014638900756835938","0.0066568851470947266,0.006544589996337891",0.001178503,0.00146389,0.006656885,0.00654459
20,0.006848335,"0.0014164447784423828,0.0012083053588867188","0.006621360778808594,0.006584644317626953",0.001416445,0.001208305,0.006621361,0.006584644
21,0.006633759,"0.001386880874633789,0.0012209415435791016","0.006602287292480469,0.006501674652099609",0.001386881,0.001220942,0.006602287,0.006501675
22,0.006598473,"0.0029172897338867188,0.001455545425415039","0.0068552494049072266,0.006777524948120117",0.00291729,0.001455545,0.006855249,0.006777525
23,0.014850616,"0.0026738643646240234,0.0013806819915771484","0.006541013717651367,0.0066356658935546875",0.002673864,0.001380682,0.006541014,0.006635666
24,0.006604671,0.001430988,0.006545067,0.001430988,,0.006545067,
25,0.006645918,"0.0011639595031738281,0.0010919570922851562","0.006500244140625,0.0065991878509521484",0.00116396,0.001091957,0.006500244,0.006599188
26,0.00662303,"0.001310110092163086,0.0013530254364013672","0.007387876510620117,0.006673336029052734",0.00131011,0.001353025,0.007387877,0.006673336
27,0.015086174,"0.0026895999908447266,0.0010845661163330078","0.014914274215698242,0.01524209976196289",0.0026896,0.001084566,0.014914274,0.0152421
28,0.006681442,0.001266241,0.0066576,0.001266241,,0.0066576,
29,0.015942574,"0.0014553070068359375,0.0028448104858398438","0.006630659103393555,0.006613731384277344",0.001455307,0.00284481,0.006630659,0.006613731
30,0.00684166,0.001425266,0.016213894,0.001425266,,0.016213894,
31,0.006698608,"0.0013873577117919922,0.0014374256134033203","0.011459589004516602,0.015026092529296875",0.001387358,0.001437426,0.011459589,0.015026093
32,0.006701469,0.002990723,0.006615639,0.002990723,,0.006615639,
33,0.006711245,"0.0012595653533935547,0.0011086463928222656","0.00647735595703125,0.014873266220092773",0.001259565,0.001108646,0.006477356,0.014873266
34,0.009852171,"0.0016875267028808594,0.0014681816101074219","0.007700920104980469,0.013305187225341797",0.001687527,0.001468182,0.00770092,0.013305187
35,0.00666523,"0.001264810562133789,0.0014374256134033203","0.007554292678833008,0.006907939910888672",0.001264811,0.001437426,0.007554293,0.00690794
36,0.006699085,"0.001459360122680664,0.0013475418090820312","0.006686210632324219,0.007199287414550781",0.00145936,0.001347542,0.006686211,0.007199287
37,0.00779295,0.001396179,0.006481647,0.001396179,,0.006481647,
38,0.006685734,"0.0011646747589111328,0.0025818347930908203","0.006632089614868164,0.0065686702728271484",0.001164675,0.002581835,0.00663209,0.00656867
39,0.006864309,"0.0012912750244140625,0.0014657974243164062","0.014850854873657227,0.006728172302246094",0.001291275,0.001465797,0.014850855,0.006728172
40,0.006597757,"0.002974987030029297,0.002469778060913086","0.014909744262695312,0.015518665313720703",0.002974987,0.002469778,0.014909744,0.015518665
41,0.006641865,"0.0012962818145751953,0.0012717247009277344","0.006716728210449219,0.006517887115478516",0.001296282,0.001271725,0.006716728,0.006517887
42,0.01519084,"0.0015711784362792969,0.0012364387512207031","0.006546735763549805,0.014962434768676758",0.001571178,0.001236439,0.006546736,0.014962435
43,0.006649494,"0.0011703968048095703,0.001232147216796875","0.006639242172241211,0.006640911102294922",0.001170397,0.001232147,0.006639242,0.006640911
44,0.006615162,"0.0013871192932128906,0.0012388229370117188","0.006585359573364258,0.00681304931640625",0.001387119,0.001238823,0.00658536,0.006813049
45,0.006720781,"0.0014183521270751953,0.0011451244354248047","0.015002727508544922,0.006860494613647461",0.001418352,0.001145124,0.015002728,0.006860495
46,0.006580591,"0.0014371871948242188,0.0012133121490478516","0.006482362747192383,0.006731510162353516",0.001437187,0.001213312,0.006482363,0.00673151
47,0.006587029,"0.0014531612396240234,0.002821207046508789","0.006805896759033203,0.0066280364990234375",0.001453161,0.002821207,0.006805897,0.006628036
48,0.012680054,"0.0013561248779296875,0.002827167510986328","0.006576061248779297,0.006520271301269531",0.001356125,0.002827168,0.006576061,0.006520271
49,0.006831646,"0.0014052391052246094,0.0012700557708740234","0.00655817985534668,0.006706953048706055",0.001405239,0.001270056,0.00655818,0.006706953
50,0.00763011,0.002760649,0.014901638,0.002760649,,0.014901638,
51,0.016072273,"0.0014455318450927734,0.0013501644134521484","0.0065801143646240234,0.011238574981689453",0.001445532,0.001350164,0.006580114,0.011238575
52,0.006654978,0.001180649,0.007093191,0.001180649,,0.007093191,
53,0.006755114,0.001502514,0.009153605,0.001502514,,0.009153605,
54,0.015136003,0.001443148,0.006587744,0.001443148,,0.006587744,
55,0.006720066,0.001269579,0.006929398,0.001269579,,0.006929398,
56,0.006675005,"0.0013570785522460938,0.001440286636352539","0.007207393646240234,0.006630659103393555",0.001357079,0.001440287,0.007207394,0.006630659
57,0.008107185,"0.0029566287994384766,0.0012450218200683594","0.006628513336181641,0.009399175643920898",0.002956629,0.001245022,0.006628513,0.009399176
58,0.007324457,"0.002687692642211914,0.0015511512756347656","0.006585597991943359,0.007000923156738281",0.002687693,0.001551151,0.006585598,0.007000923
59,0.007820368,"0.0011725425720214844,0.001336812973022461","0.007253885269165039,0.007347583770751953",0.001172543,0.001336813,0.007253885,0.007347584
60,0.012307405,"0.0023453235626220703,0.0014014244079589844","0.006551504135131836,0.014875650405883789",0.002345324,0.001401424,0.006551504,0.01487565
61,0.006622553,"0.001386880874633789,0.002869844436645508","0.0068340301513671875,0.015018224716186523",0.001386881,0.002869844,0.00683403,0.015018225
62,0.006631374,"0.0012743473052978516,0.002714872360229492","0.006548881530761719,0.006617546081542969",0.001274347,0.002714872,0.006548882,0.006617546
63,0.015043259,0.0014112,0.006769419,0.0014112,,0.006769419,
64,0.006718636,"0.0011737346649169922,0.0011515617370605469","0.0064830780029296875,0.006643772125244141",0.001173735,0.001151562,0.006483078,0.006643772
65,0.014801979,"0.0024166107177734375,0.0012526512145996094","0.015021085739135742,0.006687164306640625",0.002416611,0.001252651,0.015021086,0.006687164
66,0.006636381,"0.0014660358428955078,0.0025949478149414062","0.006814002990722656,0.006516218185424805",0.001466036,0.002594948,0.006814003,0.006516218
67,0.006659269,0.001374006,0.006500483,0.001374006,,0.006500483,
68,0.006692648,"0.0011985301971435547,0.0013489723205566406","0.006516695022583008,0.006662130355834961",0.00119853,0.001348972,0.006516695,0.00666213
69,0.006866932,,,,,,
70,0.006681681,"0.0012204647064208984,0.0012476444244384766","0.0065746307373046875,0.006593227386474609",0.001220465,0.001247644,0.006574631,0.006593227
71,0.006756783,"0.0013208389282226562,0.002760171890258789","0.015039443969726562,0.014890909194946289",0.001320839,0.002760172,0.015039444,0.014890909
72,0.006715298,"0.00127410888671875,0.0026464462280273438","0.006621360778808594,0.0066072940826416016",0.001274109,0.002646446,0.006621361,0.006607294
73,0.015008211,"0.002641916275024414,0.0013611316680908203","0.006550312042236328,0.014791727066040039",0.002641916,0.001361132,0.006550312,0.014791727
74,0.006578684,"0.002759218215942383,0.0013458728790283203","0.014972448348999023,0.015104532241821289",0.002759218,0.001345873,0.014972448,0.015104532
75,0.006719828,0.00144887,0.014884472,0.00144887,,0.014884472,
76,0.00661397,0.001278639,0.006751299,0.001278639,,0.006751299,
77,0.012645721,0.001378536,0.006760836,0.001378536,,0.006760836,
78,0.014904499,"0.0026438236236572266,0.002702951431274414","0.014780282974243164,0.014932394027709961",0.002643824,0.002702951,0.014780283,0.014932394
79,0.015184402,"0.0027780532836914062,0.002834796905517578","0.014943122863769531,0.015165090560913086",0.002778053,0.002834797,0.014943123,0.015165091
80,0.015124321,"0.0028228759765625,0.0026161670684814453","0.014923810958862305,0.015035867691040039",0.002822876,0.002616167,0.014923811,0.015035868
81,0.017200947,"0.002682924270629883,0.002833843231201172","0.01481318473815918,0.01495361328125",0.002682924,0.002833843,0.014813185,0.014953613
82,0.015185833,0.002735376,0.014922142,0.002735376,,0.014922142,
83,0.015653372,0.002719402,0.015226126,0.002719402,,0.015226126,
84,0.01503849,0.002770185,0.015062571,0.002770185,,0.015062571,
85,0.015077591,"0.0027189254760742188,0.0028581619262695312","0.014917612075805664,0.014986753463745117",0.002718925,0.002858162,0.014917612,0.014986753
86,0.013671398,"0.002521038055419922,0.0025773048400878906","0.014880180358886719,0.014987707138061523",0.002521038,0.002577305,0.01488018,0.014987707
87,0.015106916,"0.0026330947875976562,0.0028166770935058594","0.015077352523803711,0.015003204345703125",0.002633095,0.002816677,0.015077353,0.015003204
88,0.006688833,"0.0013303756713867188,0.0024619102478027344","0.014897584915161133,0.014754056930541992",0.001330376,0.00246191,0.014897585,0.014754057
89,0.015060663,"0.002916574478149414,0.0026464462280273438","0.015108346939086914,0.014964580535888672",0.002916574,0.002646446,0.015108347,0.014964581
90,0.014869213,0.002989054,0.014961243,0.002989054,,0.014961243,
91,0.014977217,"0.0027551651000976562,0.002838611602783203","0.01482844352722168,0.013188600540161133",0.002755165,0.002838612,0.014828444,0.013188601
92,0.015168667,0.002926588,0.015130281,0.002926588,,0.015130281,
93,0.017089844,0.002748966,0.015223026,0.002748966,,0.015223026,
94,0.015074253,,,,,,
95,0.015068769,"0.002872467041015625,0.002892732620239258","0.01483607292175293,0.014868497848510742",0.002872467,0.002892733,0.014836073,0.014868498
96,0.014997959,0.002395391,0.015043259,0.002395391,,0.015043259,
97,0.015088081,"0.0028357505798339844,0.0028581619262695312","0.014819622039794922,0.006617307662963867",0.002835751,0.002858162,0.014819622,0.006617308
98,0.015160084,0.002188921,0.014452457,0.002188921,,0.014452457,
99,0.014904261,"0.0028934478759765625,0.002637147903442383","0.014855146408081055,0.015022516250610352",0.002893448,0.002637148,0.014855146,0.015022516
100,0.015025854,"0.002841472625732422,0.002630472183227539","0.014793157577514648,0.01460123062133789",0.002841473,0.002630472,0.014793158,0.014601231
